airline_name,date,route ,origin,origin code,destination code,destination,layover 1,layover 2,overall_rating,seat_comfort_rating,cabin_staff_rating,inflight_entertainment_rating,value_money_rating
croatia-airlines,2015-06-26,barcelona|zagreb,barcelona,BCN,ZAG,zagreb,,,4,4,4,2,5
cubana-airlines,2015-07-28,habana|mexico city,habana,HAV,MEX,mexico city,,,0.5,3,2,,1
cubana-airlines,2015-07-27,cancun|havana,cancun,CUN,HAV,havana,,,0.5,3,3,1,1
delta-air-lines,2015-08-01,clermont|paris,clermont,CFE,CDG,paris,,,0.5,1,4,1,1
delta-air-lines,2015-08-01,paris|paris,paris,CDG,CDG,paris,,,0.5,1,4,1,1
delta-air-lines,2015-07-31,tampa|detroit,tampa,TPA,DTW,detroit,,,0.5,4,1,3,1
delta-air-lines,2015-07-31,detroit|detroit,detroit,DTW,DTW,detroit,,,0.5,4,1,3,1
delta-air-lines,2015-07-31,jfk|lhr,jfk,JFK,LHR,lhr,,,0.5,1,1,2,2
delta-air-lines,2015-07-31,bozeman|las vegas,bozeman,BZN,LAS,las vegas,,,4,3,4,4,5
delta-air-lines,2015-07-31,las vegas|salt lake city,las vegas,LAS,SLC,salt lake city,,,4,3,4,4,5
delta-air-lines,2015-07-31,sjc|bcn,sjc,SJC,BCN,bcn,,,4,3,5,4,4
delta-air-lines,2015-07-31,"bcn|sea, atl",bcn,BCN,SEA,"sea, atl",,,4,3,5,4,4
delta-air-lines,2015-07-31,"bcn|sea, atl",bcn,BCN,ATL,,,,4,3,5,4,4
delta-air-lines,2015-07-27,atlanta|london heathrow,atlanta,ATL,LHR,london heathrow,,,4.5,5,5,4,4
delta-air-lines,2015-07-26,slc|atl,slc,SLC,ATL,atl,,,4.5,5,5,5,5
delta-air-lines,2015-07-24,mke|laguardia,mke,MKE,LGA,laguardia,,,0.5,1,1,1,1
delta-air-lines,2015-07-24,winnipeg|grand rapids,winnipeg,YWG,GRR,grand rapids,,,5,3,5,,4
delta-air-lines,2015-07-24,grand rapids|msp,grand rapids,GRR,MSP,msp,,,5,3,5,,4
delta-air-lines,2015-07-23,san|lhr,san,SAN,LHR,lhr,,,1.5,4,4,4,2
delta-air-lines,2015-07-23,lhr|jfk,lhr,LHR,JFK,jfk,,,1.5,4,4,4,2
delta-air-lines,2015-07-21,mia|ams,mia,MIA,AMS,ams,,,4,5,5,4,5
delta-air-lines,2015-07-21,ams|atl,ams,AMS,ATL,atl,,,4,5,5,4,5
delta-air-lines,2015-07-21,jfk|bog,jfk,JFK,BOG,bog,,,1.5,1,4,,1
delta-air-lines,2015-07-21,nashville|london,nashville,BNA,LHR,london,,,1.5,1,1,,4
delta-air-lines,2015-07-20,atl|sfo,atl,ATL,SFO,sfo,,,4,4,5,,4
delta-air-lines,2015-07-19,lax|dtw,lax,LAX,DTW,dtw,,,0.5,1,3,1,1
delta-air-lines,2015-07-18,los angeles|seattle,los angeles,LAX,SEA,seattle,,,4,2,5,5,5
delta-air-lines,2015-07-16,salt lake city|new york city,salt lake city,SLC,JFK,new york city,,,0.5,1,1,,1
delta-air-lines,2015-07-16,sav|mci,sav,SAV,MCI,mci,,,0.5,1,1,1,1
delta-air-lines,2015-07-14,bos|cdg,bos,BOS,CDG,cdg,,,4,4,4,4,5
delta-air-lines,2015-07-14,san diego|heathrow,san diego,SAN,LHR,heathrow,,,1,1,2,2,1
delta-air-lines,2015-07-14,heathrow|new york,heathrow,LHR,JFK,new york,,,1,1,2,2,1
delta-air-lines,2015-07-14,sydney|calgary,sydney,SYD,YYC,calgary,,,4,4,5,4,5
delta-air-lines,2015-07-14,calgary|lax,calgary,YYC,LAX,lax,,,4,4,5,4,5
delta-air-lines,2015-07-14,lax|atl,lax,LAX,ATL,atl,,,3.5,2,4,4,3
delta-air-lines,2015-07-14,sydney|calgary,sydney,SYD,YYC,calgary,,,4,4,5,4,5
delta-air-lines,2015-07-14,calgary|lax,calgary,YYC,LAX,lax,,,4,4,5,4,5
delta-air-lines,2015-07-11,norfolf|halifax,norfolf,ORF,YHZ,halifax,,,0.5,2,2,,1
delta-air-lines,2015-07-11,halifax|laguardia,halifax,YHZ,LGA,laguardia,,,0.5,2,2,,1
delta-air-lines,2015-07-11,sea|jfk,sea,SEA,JFK,jfk,,,4,4,3,5,5
delta-air-lines,2015-07-10,boston|new york,boston,BOS,JFK,new york,,,0.5,3,4,,1
delta-air-lines,2015-07-09,"philadelphia|santiago, dom republic",philadelphia,PHL,SCL,"santiago, dom republic",,,0.5,1,2,1,3
delta-air-lines,2015-07-09,aus|sea,aus,AUS,SEA,sea,,,4.5,4,5,,5
delta-air-lines,2015-07-09,sea|lax,sea,SEA,LAX,lax,,,4.5,4,5,,5
delta-air-lines,2015-07-09,sea|aus,sea,SEA,AUS,aus,,,4.5,4,4,,4
delta-air-lines,2015-07-09,aus|msp,aus,AUS,MSP,msp,,,4.5,4,4,,4
delta-air-lines,2015-07-08,sfo|lhr,sfo,SFO,LHR,lhr,,,0.5,1,3,3,2
delta-air-lines,2015-07-08,lhr|lax,lhr,LHR,LAX,lax,,,0.5,1,3,3,2
delta-air-lines,2015-07-07,new york jfk|rome fco,new york jfk,JFK,FCO,rome fco,,,5,5,5,5,5
delta-air-lines,2015-07-07,san francisco|west palm beach,san francisco,SFO,PBI,west palm beach,,,4.5,4,4,4,4
delta-air-lines,2015-07-07,west palm beach|atlanta,west palm beach,PBI,ATL,atlanta,,,4.5,4,4,4,4
delta-air-lines,2015-07-06,"tampa, fl|los angeles, ca","tampa, fl",MIA,LAX,"los angeles, ca",,,1,2,2,1,2
delta-air-lines,2015-07-06,key west|atlanta,key west,EYW,ATL,atlanta,,,0.5,1,1,1,1
delta-air-lines,2015-07-05,huntsville|denver,huntsville,HSV,DEN,denver,,,0.5,1,1,1,1
delta-air-lines,2015-07-03,raleigh|asu,raleigh,RDU,ASU,asu,,,0.5,3,2,2,1
delta-air-lines,2015-07-03,asu|gru,asu,ASU,GRU,gru,,,0.5,3,2,2,1
delta-air-lines,2015-07-03,hkg|lax,hkg,HKG,LAX,lax,,,4,4,4,5,4
delta-air-lines,2015-07-03,lax|sea,lax,LAX,SEA,sea,,,4,4,4,5,4
delta-air-lines,2015-07-03,atlanta|auckland,atlanta,ATL,AKL,auckland,,,4.5,5,4,4,4
delta-air-lines,2015-07-03,auckland|los angeles,auckland,AKL,LAX,los angeles,,,4.5,5,4,4,4
delta-air-lines,2015-07-02,jfk|fll,jfk,JFK,FLL,fll,,,0.5,1,1,,1
delta-air-lines,2015-07-02,new york|los angeles,new york,JFK,LAX,los angeles,,,4,4,5,4,4
delta-air-lines,2015-07-02,dsm|lhr,dsm,DSM,LHR,lhr,,,4.5,3,4,3,5
delta-air-lines,2015-07-02,lhr|msp,lhr,LHR,MSP,msp,,,4.5,3,4,3,5
delta-air-lines,2015-07-02,san diego|atlanta,san diego,SAN,ATL,atlanta,,,5,4,5,5,5
